update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
54,train,9.750943564105036,,1.1e-05,11968.634255892113,2.007153272628784,1.0,1990656,2025-09-10T13:29:29.678354+00:00Z
55,train,9.73401014452696,,1.12e-05,11968.413752669965,2.0771989822387695,1.0,2027520,2025-09-10T13:29:32.760693+00:00Z
56,train,9.714182666947128,,1.1400000000000001e-05,11969.618317988497,2.15018630027771,1.0,2064384,2025-09-10T13:29:35.841257+00:00Z
57,train,9.699218868025852,,1.1599999999999999e-05,11970.937201360728,2.0577003955841064,1.0,2101248,2025-09-10T13:29:38.919359+00:00Z
58,train,9.684796308406037,,1.18e-05,11972.201971685477,2.0890071392059326,1.0,2138112,2025-09-10T13:29:41.999199+00:00Z
59,train,9.668348361487247,,1.2e-05,11973.500882546155,2.1222145557403564,1.0,2174976,2025-09-10T13:29:45.078674+00:00Z
60,train,9.651421400399558,,1.2200000000000002e-05,11972.849426832234,2.1619880199432373,1.0,2211840,2025-09-10T13:29:48.159332+00:00Z
61,train,9.639712750159102,,1.24e-05,11972.161095540563,2.049856424331665,1.0,2248704,2025-09-10T13:29:51.241191+00:00Z
62,train,9.62077826789832,,1.26e-05,11970.21599893725,2.1743998527526855,1.0,2285568,2025-09-10T13:29:54.323841+00:00Z
63,train,9.615485726581358,,1.2800000000000001e-05,11967.892187414416,1.9252270460128784,1.0,2322432,2025-09-10T13:29:57.407481+00:00Z
64,train,9.607618730175208,,1.3e-05,11966.392241026262,1.9487086534500122,1.0,2359296,2025-09-10T13:30:00.491661+00:00Z
65,train,9.594792509890535,,1.32e-05,11964.170021668884,2.043015718460083,1.0,2396160,2025-09-10T13:30:03.577159+00:00Z
66,train,9.577971635595206,,1.34e-05,11962.3275403381,2.0864450931549072,1.0,2433024,2025-09-10T13:30:06.660733+00:00Z
67,train,9.570860676469128,,1.36e-05,11960.833219874075,1.9042448997497559,1.0,2469888,2025-09-10T13:30:09.746384+00:00Z
68,train,9.563134788723339,,1.38e-05,11960.489743238977,1.9058879613876343,1.0,2506752,2025-09-10T13:30:12.830971+00:00Z
69,train,9.556592582987143,,1.4e-05,11961.729199239866,1.8817663192749023,1.0,2543616,2025-09-10T13:30:15.912527+00:00Z
70,train,9.548385595673079,,1.4200000000000001e-05,11962.911938506379,1.8650517463684082,1.0,2580480,2025-09-10T13:30:18.993836+00:00Z
71,train,9.53231555407681,,1.44e-05,11963.962807172731,2.0161542892456055,1.0,2617344,2025-09-10T13:30:22.076019+00:00Z
72,train,9.521188326347808,,1.46e-05,11963.437859561487,1.9581595659255981,1.0,2654208,2025-09-10T13:30:25.158951+00:00Z
73,train,9.521287537517196,,1.48e-05,11963.013089760345,1.7530869245529175,1.0,2691072,2025-09-10T13:30:28.241898+00:00Z
74,train,9.50727662167136,,1.5e-05,11961.854269527896,1.9625276327133179,1.0,2727936,2025-09-10T13:30:31.326899+00:00Z
75,train,9.487243897210218,,1.52e-05,11959.870385548771,2.0335121154785156,1.0,2764800,2025-09-10T13:30:34.412255+00:00Z
76,train,9.463785487256041,,1.54e-05,11959.465131313244,2.184072732925415,1.0,2801664,2025-09-10T13:30:37.497114+00:00Z
77,train,9.44303811595582,,1.56e-05,11958.69507702474,2.125955104827881,1.0,2838528,2025-09-10T13:30:40.582527+00:00Z
78,train,9.42394214575657,,1.58e-05,11959.21571762193,2.111393690109253,1.0,2875392,2025-09-10T13:30:43.665473+00:00Z
79,train,9.413782242284734,,1.6e-05,11959.733464934608,1.9234179258346558,1.0,2912256,2025-09-10T13:30:46.748284+00:00Z
80,train,9.395093503606187,,1.62e-05,11958.923240907214,2.039005994796753,1.0,2949120,2025-09-10T13:30:49.833677+00:00Z
