update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
71,train,6.92503284764158,,1.5483870967741936e-05,8423.8281093561,0.0,1.0,2326528,2025-09-22T10:15:33.233927+00:00Z
72,train,6.9127192916143,,1.5698924731182796e-05,8426.609019651034,0.0,1.0,2359296,2025-09-22T10:15:37.117434+00:00Z
73,train,6.918582214862233,,1.5913978494623657e-05,8424.411888362281,0.0,1.0,2392064,2025-09-22T10:15:41.011145+00:00Z
74,train,6.924239636018984,,1.6129032258064517e-05,8429.163317785627,0.0,1.0,2424832,2025-09-22T10:15:44.899881+00:00Z
75,train,6.934179831047457,,1.6344086021505377e-05,8428.876503742598,0.0,1.0,2457600,2025-09-22T10:15:48.787999+00:00Z
76,train,6.930615706890466,,1.6559139784946237e-05,8428.19013026693,0.0,1.0,2490368,2025-09-22T10:15:52.677170+00:00Z
77,train,6.916911176129855,,1.6774193548387098e-05,8427.024445081079,0.0,1.0,2523136,2025-09-22T10:15:56.567766+00:00Z
78,train,6.9106901925367215,,1.6989247311827958e-05,8426.053910722985,0.0,1.0,2555904,2025-09-22T10:16:00.458448+00:00Z
79,train,6.9034885205234975,,1.7204301075268818e-05,8426.244703602077,0.0,1.0,2588672,2025-09-22T10:16:04.346898+00:00Z
80,train,6.893818125492861,,1.741935483870968e-05,8428.627460883661,0.0,1.0,2621440,2025-09-22T10:16:08.231931+00:00Z
81,train,6.896757476359484,,1.763440860215054e-05,8425.018900002442,0.0,1.0,2654208,2025-09-22T10:16:12.127975+00:00Z
82,train,6.904018497016917,,1.78494623655914e-05,8428.342660888837,0.0,1.0,2686976,2025-09-22T10:16:16.009686+00:00Z
83,train,6.885555156064234,,1.806451612903226e-05,8425.799213595092,0.0,1.0,2719744,2025-09-22T10:16:19.903395+00:00Z
84,train,6.881588388674439,,1.827956989247312e-05,8427.942678624664,0.0,1.0,2752512,2025-09-22T10:16:23.787463+00:00Z
85,train,6.889234133833332,,1.849462365591398e-05,8424.652675094101,0.0,1.0,2785280,2025-09-22T10:16:27.683085+00:00Z
86,train,6.880133427626207,,1.870967741935484e-05,8425.6293009113,0.0,1.0,2818048,2025-09-22T10:16:31.570369+00:00Z
87,train,6.878506193262024,,1.89247311827957e-05,8424.51696503877,0.0,1.0,2850816,2025-09-22T10:16:35.462025+00:00Z
88,train,6.874229809375122,,1.913978494623656e-05,8423.000265544215,0.0,1.0,2883584,2025-09-22T10:16:39.355129+00:00Z
89,train,6.862827248035235,,1.935483870967742e-05,8424.39909552621,0.0,1.0,2916352,2025-09-22T10:16:43.242201+00:00Z
90,train,6.849446970216957,,1.956989247311828e-05,8428.186602824579,0.0,1.0,2949120,2025-09-22T10:16:47.123132+00:00Z
91,train,6.821002004735941,,1.978494623655914e-05,8432.64518181526,0.0,1.0,2981888,2025-09-22T10:16:51.020847+00:00Z
92,train,6.808186869198031,,2e-05,8433.298488630458,0.0,1.0,3014656,2025-09-22T10:16:54.905193+00:00Z
93,train,6.803368366098952,,2.0215053763440862e-05,8430.033319499786,0.0,1.0,3047424,2025-09-22T10:16:58.798279+00:00Z
94,train,6.796187731328504,,2.0430107526881722e-05,8431.55122424886,0.0,1.0,3080192,2025-09-22T10:17:02.681837+00:00Z
95,train,6.772400158080068,,2.0645161290322582e-05,8427.057490547937,0.0,1.0,3112960,2025-09-22T10:17:06.578576+00:00Z
96,train,6.76856360205943,,2.086021505376344e-05,8424.8624970995,0.0,1.0,3145728,2025-09-22T10:17:10.472074+00:00Z
97,train,6.739790124019396,,2.1075268817204303e-05,8426.257938776027,0.0,1.0,3178496,2025-09-22T10:17:14.358296+00:00Z
98,train,6.7298616787675725,,2.129032258064516e-05,8427.755000694242,0.0,1.0,3211264,2025-09-22T10:17:18.243641+00:00Z
99,train,6.7114090520933605,,2.1505376344086024e-05,8426.071346377259,0.0,1.0,3244032,2025-09-22T10:17:22.135634+00:00Z
100,train,6.704505222928106,,2.172043010752688e-05,8388.32772138233,0.6649587154388428,1.0,3276800,2025-09-22T10:17:26.124793+00:00Z
101,train,6.683761731885296,,2.1935483870967744e-05,8401.198691871756,0.0,1.0,3309568,2025-09-22T10:17:30.001432+00:00Z
102,train,6.686586549373646,,2.21505376344086e-05,8405.448223553645,0.0,1.0,3342336,2025-09-22T10:17:33.891988+00:00Z
103,train,6.677884194694918,,2.2365591397849465e-05,8411.871440756495,0.0,1.0,3375104,2025-09-22T10:17:37.785602+00:00Z
104,train,6.659045583107734,,2.258064516129032e-05,8414.829492912486,0.0,1.0,3407872,2025-09-22T10:17:41.674212+00:00Z
105,train,6.649363189427851,,2.2795698924731185e-05,8416.715271909638,0.0,1.0,3440640,2025-09-22T10:17:45.563931+00:00Z
106,train,6.635765847106694,,2.3010752688172042e-05,8419.267280457314,0.0,1.0,3473408,2025-09-22T10:17:49.452598+00:00Z
107,train,6.640428939348387,,2.3225806451612906e-05,8420.574239175465,0.0,1.0,3506176,2025-09-22T10:17:53.341605+00:00Z
108,train,6.643450557189518,,2.3440860215053766e-05,8421.712377059019,0.0,1.0,3538944,2025-09-22T10:17:57.230398+00:00Z
109,train,6.621444808540344,,2.3655913978494626e-05,8422.723321773314,0.0,1.0,3571712,2025-09-22T10:18:01.118959+00:00Z
110,train,6.606550938276291,,2.3870967741935486e-05,8423.560701476203,0.0,1.0,3604480,2025-09-22T10:18:05.009171+00:00Z
111,train,6.604464691628075,,2.4086021505376347e-05,8424.55824799582,0.0,1.0,3637248,2025-09-22T10:18:08.896910+00:00Z
112,train,6.603338082208386,,2.4301075268817207e-05,8425.5863313822,0.0,1.0,3670016,2025-09-22T10:18:12.784119+00:00Z
113,train,6.595146411276595,,2.4516129032258064e-05,8427.637945834264,0.0,1.0,3702784,2025-09-22T10:18:16.678515+00:00Z
114,train,6.584990370526972,,2.4731182795698928e-05,8429.88339504919,0.0,1.0,3735552,2025-09-22T10:18:20.561501+00:00Z
115,train,6.589511991967317,,2.4946236559139784e-05,8429.879849710598,0.0,1.0,3768320,2025-09-22T10:18:24.448633+00:00Z
116,train,6.575028575744829,,2.5161290322580645e-05,8424.074155662509,0.0,1.0,3801088,2025-09-22T10:18:28.349190+00:00Z
117,train,6.567218372780027,,2.537634408602151e-05,8426.772393641033,0.0,1.0,3833856,2025-09-22T10:18:32.232775+00:00Z
118,train,6.550183370314189,,2.559139784946237e-05,8426.056672085144,0.0,1.0,3866624,2025-09-22T10:18:36.122986+00:00Z
119,train,6.541801716031564,,2.5806451612903226e-05,8427.663441988741,0.0,1.0,3899392,2025-09-22T10:18:40.008171+00:00Z
120,train,6.502196698017657,,2.6021505376344086e-05,8424.94403466905,0.0,1.0,3932160,2025-09-22T10:18:43.904106+00:00Z
121,train,6.46844825323916,,2.623655913978495e-05,8426.323272289856,0.0,1.0,3964928,2025-09-22T10:18:47.790328+00:00Z
122,train,6.472123150615363,,2.645161290322581e-05,8431.03917838244,0.0,1.0,3997696,2025-09-22T10:18:51.678271+00:00Z
123,train,6.446621827413262,,2.6666666666666667e-05,8430.755668390886,0.0,1.0,4030464,2025-09-22T10:18:55.565516+00:00Z
124,train,6.4272668946948235,,2.6881720430107527e-05,8428.731243567823,0.0,1.0,4063232,2025-09-22T10:18:59.456909+00:00Z
125,train,6.403806429132812,,2.709677419354839e-05,8428.712256015373,0.0,1.0,4096000,2025-09-22T10:19:03.344608+00:00Z
126,train,6.393156213484698,,2.731182795698925e-05,8430.230234435976,0.0,1.0,4128768,2025-09-22T10:19:07.228774+00:00Z
127,train,6.387125083436811,,2.7526881720430108e-05,8426.718529977854,0.0,1.0,4161536,2025-09-22T10:19:11.125855+00:00Z
128,train,6.378473879662375,,2.7741935483870968e-05,8425.696262362568,0.0,1.0,4194304,2025-09-22T10:19:15.016798+00:00Z
129,train,6.367961503655213,,2.7956989247311828e-05,8427.004514081511,0.0,1.0,4227072,2025-09-22T10:19:18.902837+00:00Z
130,train,6.344457731476871,,2.8172043010752692e-05,8426.756897710038,0.0,1.0,4259840,2025-09-22T10:19:22.791860+00:00Z
131,train,6.339824246613486,,2.838709677419355e-05,8430.268106781306,0.0,1.0,4292608,2025-09-22T10:19:26.682367+00:00Z
132,train,6.32756484202889,,2.860215053763441e-05,8428.799453086258,0.0,1.0,4325376,2025-09-22T10:19:30.572702+00:00Z
133,train,6.302443963161236,,2.881720430107527e-05,8428.483817845923,0.0,1.0,4358144,2025-09-22T10:19:34.461054+00:00Z
134,train,6.2893366711179555,,2.9032258064516133e-05,8427.658043982938,0.0,1.0,4390912,2025-09-22T10:19:38.350728+00:00Z
135,train,6.271904208973659,,2.924731182795699e-05,8427.094405312268,0.0,1.0,4423680,2025-09-22T10:19:42.240179+00:00Z
136,train,6.241949837251556,,2.946236559139785e-05,8427.741731828792,0.0,1.0,4456448,2025-09-22T10:19:46.137216+00:00Z
137,train,6.222443092623996,,2.967741935483871e-05,8429.388673507112,0.0,1.0,4489216,2025-09-22T10:19:50.021532+00:00Z
138,train,6.222838195049448,,2.9892473118279574e-05,8428.189756425254,0.0,1.0,4521984,2025-09-22T10:19:53.911650+00:00Z
139,train,6.199639551535562,,3.010752688172043e-05,8427.94976328416,0.0,1.0,4554752,2025-09-22T10:19:57.800109+00:00Z
140,train,6.196343230630739,,3.032258064516129e-05,8427.18629016209,0.0,1.0,4587520,2025-09-22T10:20:01.689886+00:00Z
141,train,6.171576977454826,,3.053763440860215e-05,8424.610529112737,0.0,1.0,4620288,2025-09-22T10:20:05.584205+00:00Z
142,train,6.156086719646935,,3.075268817204301e-05,8425.344562297538,0.0,1.0,4653056,2025-09-22T10:20:09.472068+00:00Z
143,train,6.125989898992971,,3.096774193548387e-05,8429.727307379244,0.0,1.0,4685824,2025-09-22T10:20:13.351197+00:00Z
144,train,6.115972451824006,,3.118279569892473e-05,8431.242288498024,0.0,1.0,4718592,2025-09-22T10:20:17.244931+00:00Z
145,train,6.104452001265934,,3.139784946236559e-05,8428.989713308914,0.0,1.0,4751360,2025-09-22T10:20:21.136627+00:00Z
146,train,6.081960678588377,,3.161290322580645e-05,8427.579677105781,0.0,1.0,4784128,2025-09-22T10:20:25.027417+00:00Z
147,train,6.069495785675371,,3.182795698924731e-05,8427.598842104357,0.0,1.0,4816896,2025-09-22T10:20:28.917098+00:00Z
148,train,6.047467298902801,,3.204301075268817e-05,8426.954091108235,0.0,1.0,4849664,2025-09-22T10:20:32.806763+00:00Z
149,train,6.0394737728813865,,3.2258064516129034e-05,8426.241471000198,0.0,1.0,4882432,2025-09-22T10:20:36.696883+00:00Z
150,train,6.037734634433352,,3.2473118279569894e-05,8427.764390843471,0.0,1.0,4915200,2025-09-22T10:20:40.583917+00:00Z
151,train,6.0302559436149865,,3.2688172043010754e-05,8426.367732489718,0.0,1.0,4947968,2025-09-22T10:20:44.475242+00:00Z
152,train,6.028717115591837,,3.2903225806451614e-05,8424.701526815772,0.0,1.0,4980736,2025-09-22T10:20:48.367837+00:00Z
153,train,6.00572585618872,,3.3118279569892475e-05,8427.449701454327,0.0,1.0,5013504,2025-09-22T10:20:52.251018+00:00Z
154,train,5.98569923242669,,3.3333333333333335e-05,8426.58468346929,0.0,1.0,5046272,2025-09-22T10:20:56.141261+00:00Z
155,train,5.973114087588257,,3.3548387096774195e-05,8424.441374633734,0.0,1.0,5079040,2025-09-22T10:21:00.036508+00:00Z
156,train,5.959266270166636,,3.3763440860215055e-05,8426.221226413005,0.0,1.0,5111808,2025-09-22T10:21:03.922038+00:00Z
157,train,5.947032628923059,,3.3978494623655916e-05,8428.81562026821,0.0,1.0,5144576,2025-09-22T10:21:07.804874+00:00Z
158,train,5.94012053472048,,3.4193548387096776e-05,8431.78756788683,0.0,1.0,5177344,2025-09-22T10:21:11.695686+00:00Z
159,train,5.918472316821629,,3.4408602150537636e-05,8429.33907440393,0.0,1.0,5210112,2025-09-22T10:21:15.587583+00:00Z
160,train,5.900076574349595,,3.4623655913978497e-05,8426.85527263022,0.0,1.0,5242880,2025-09-22T10:21:19.480693+00:00Z
161,train,5.891284227011376,,3.483870967741936e-05,8428.105566359836,0.0,1.0,5275648,2025-09-22T10:21:23.366332+00:00Z
162,train,5.875055217419064,,3.505376344086022e-05,8427.923644581046,0.0,1.0,5308416,2025-09-22T10:21:27.254695+00:00Z
163,train,5.862634966081973,,3.526881720430108e-05,8428.093055946676,0.0,1.0,5341184,2025-09-22T10:21:31.142332+00:00Z
164,train,5.850545670962271,,3.548387096774194e-05,8427.137568366456,0.0,1.0,5373952,2025-09-22T10:21:35.032487+00:00Z
165,train,5.825018137433473,,3.56989247311828e-05,8427.926650054353,0.0,1.0,5406720,2025-09-22T10:21:38.919057+00:00Z
166,train,5.793839576606461,,3.591397849462366e-05,8428.159043195858,0.0,1.0,5439488,2025-09-22T10:21:42.806548+00:00Z
167,train,5.778489955751159,,3.612903225806452e-05,8427.184163242166,0.0,1.0,5472256,2025-09-22T10:21:46.696716+00:00Z
168,train,5.775523437697939,,3.634408602150538e-05,8426.493264056917,0.0,1.0,5505024,2025-09-22T10:21:50.586680+00:00Z
169,train,5.756069171702193,,3.655913978494624e-05,8431.436733410852,0.0,1.0,5537792,2025-09-22T10:21:54.481602+00:00Z
170,train,5.737241394765967,,3.67741935483871e-05,8432.726689500638,0.0,1.0,5570560,2025-09-22T10:21:58.365039+00:00Z
171,train,5.7278924829791125,,3.698924731182796e-05,8432.053460005463,0.0,1.0,5603328,2025-09-22T10:22:02.262419+00:00Z
172,train,5.704234342011524,,3.720430107526882e-05,8431.472070992546,0.0,1.0,5636096,2025-09-22T10:22:06.149883+00:00Z
173,train,5.691710323303383,,3.741935483870968e-05,8429.876402098227,0.0,1.0,5668864,2025-09-22T10:22:10.040957+00:00Z
174,train,5.67797688562522,,3.763440860215054e-05,8431.580379526291,0.0,1.0,5701632,2025-09-22T10:22:13.925162+00:00Z
175,train,5.667863427867141,,3.78494623655914e-05,8429.09410310238,0.0,1.0,5734400,2025-09-22T10:22:17.817241+00:00Z
176,train,5.64792855316667,,3.8064516129032254e-05,8429.749792239149,0.0,1.0,5767168,2025-09-22T10:22:21.710672+00:00Z
177,train,5.637568840988888,,3.827956989247312e-05,8433.757744026378,0.0,1.0,5799936,2025-09-22T10:22:25.598668+00:00Z
178,train,5.629846456296814,,3.849462365591398e-05,8432.505948624135,0.0,1.0,5832704,2025-09-22T10:22:29.487399+00:00Z
179,train,5.627383359653567,,3.870967741935484e-05,8433.848269070719,0.0,1.0,5865472,2025-09-22T10:22:33.370223+00:00Z
180,train,5.621580781086816,,3.8924731182795695e-05,8428.902329469673,0.0,1.0,5898240,2025-09-22T10:22:37.266946+00:00Z
181,train,5.596873940418244,,3.913978494623656e-05,8429.534810182091,0.0,1.0,5931008,2025-09-22T10:22:41.153064+00:00Z
182,train,5.580711419633103,,3.935483870967742e-05,8426.645241523247,0.0,1.0,5963776,2025-09-22T10:22:45.047022+00:00Z
183,train,5.573970647380715,,3.956989247311828e-05,8428.578590631212,0.0,1.0,5996544,2025-09-22T10:22:48.932615+00:00Z
184,train,5.567661325686543,,3.978494623655914e-05,8428.241196429817,0.0,1.0,6029312,2025-09-22T10:22:52.821119+00:00Z
185,train,5.560305566090377,,4e-05,8429.274020826244,0.0,1.0,6062080,2025-09-22T10:22:56.706619+00:00Z
186,train,5.531619731037049,,4.0215053763440864e-05,8429.316450996914,0.0,1.0,6094848,2025-09-22T10:23:00.604261+00:00Z
187,train,5.514117041332926,,4.0430107526881724e-05,8428.278194565695,0.0,1.0,6127616,2025-09-22T10:23:04.494042+00:00Z
188,train,5.5100715629190855,,4.0645161290322584e-05,8430.374350016904,0.0,1.0,6160384,2025-09-22T10:23:08.377078+00:00Z
189,train,5.510473734611033,,4.0860215053763444e-05,8426.8750187855,0.0,1.0,6193152,2025-09-22T10:23:12.272059+00:00Z
190,train,5.5116294322673305,,4.1075268817204305e-05,8426.96504298153,0.0,1.0,6225920,2025-09-22T10:23:16.160362+00:00Z
191,train,5.4944068758127536,,4.1290322580645165e-05,8426.72821349255,0.0,1.0,6258688,2025-09-22T10:23:20.049379+00:00Z
192,train,5.491852280655871,,4.1505376344086025e-05,8424.479829757927,0.0,1.0,6291456,2025-09-22T10:23:23.943153+00:00Z
193,train,5.474825379692945,,4.172043010752688e-05,8428.121005910896,0.0,1.0,6324224,2025-09-22T10:23:27.824382+00:00Z
194,train,5.441425458291262,,4.1935483870967746e-05,8427.396505259543,0.0,1.0,6356992,2025-09-22T10:23:31.713991+00:00Z
195,train,5.452652528016945,,4.2150537634408606e-05,8427.440418769174,0.0,1.0,6389760,2025-09-22T10:23:35.602160+00:00Z
196,train,5.447833848711115,,4.2365591397849466e-05,8422.918392390362,0.0,1.0,6422528,2025-09-22T10:23:39.500870+00:00Z
197,train,5.439148383780951,,4.258064516129032e-05,8423.938652250898,0.0,1.0,6455296,2025-09-22T10:23:43.388854+00:00Z
198,train,5.432880143026681,,4.279569892473119e-05,8425.344967628029,0.0,1.0,6488064,2025-09-22T10:23:47.275477+00:00Z
199,train,5.401176249712859,,4.301075268817205e-05,8427.989634206411,0.0,1.0,6520832,2025-09-22T10:23:51.158600+00:00Z
200,train,5.391676100251217,,4.322580645161291e-05,8426.580741279788,0.9110445976257324,1.0,6553600,2025-09-22T10:23:55.060057+00:00Z
201,train,5.372421144387548,,4.344086021505376e-05,8429.418974738413,0.0,1.0,6586368,2025-09-22T10:23:58.942166+00:00Z
202,train,5.367256318576418,,4.365591397849463e-05,8426.12936057084,0.0,1.0,6619136,2025-09-22T10:24:02.837104+00:00Z
203,train,5.363850052697018,,4.387096774193549e-05,8426.322528060948,0.0,1.0,6651904,2025-09-22T10:24:06.725514+00:00Z
204,train,5.338466485329767,,4.408602150537635e-05,8426.379203065455,0.0,1.0,6684672,2025-09-22T10:24:10.615857+00:00Z
205,train,5.332729482640296,,4.43010752688172e-05,8426.65479328107,0.0,1.0,6717440,2025-09-22T10:24:14.503961+00:00Z
206,train,5.32542068122876,,4.451612903225807e-05,8430.098228019515,0.0,1.0,6750208,2025-09-22T10:24:18.384645+00:00Z
207,train,5.325973877540699,,4.473118279569893e-05,8429.844921965807,0.0,1.0,6782976,2025-09-22T10:24:22.282442+00:00Z
208,train,5.31379137268496,,4.494623655913979e-05,8432.016219266005,0.0,1.0,6815744,2025-09-22T10:24:26.166194+00:00Z
